order_id,order_datetime,address_raw,city,pincode,customer_id,past_failures,distance_km,time_slot,delivery_status,failure_reason
ORD00028,2026-03-10 16:55:00,opp school 10th cross electronic city bengaluru,Bengaluru,560100,C0431,0,13.6,afternoon,delivered,
ORD00029,2026-03-21 18:45:00,close to lake 3th cross marathahalli bengaluru,Bengaluru,560037,C0192,1,13.8,evening,delivered,
ORD00030,2026-03-08 20:25:00,near temple 8th cross whitefield bengaluru,Bengaluru,560066,C1013,0,1.9,night,delivered,
ORD00031,2026-03-21 11:15:00,opp school 3th cross marathahalli bengaluru,Bengaluru,560037,C0249,3,17.3,morning,delivered,
ORD00032,2026-03-22 11:35:00,close to lake 9th cross jp nagar bengaluru,Bengaluru,560078,C0973,1,7.0,morning,delivered,
ORD00033,2026-03-27 13:15:00,near temple 12th cross jp nagar bengaluru,Bengaluru,560078,C0284,2,10.9,afternoon,delivered,
ORD00034,2026-03-23 11:35:00,near temple 4th cross indiranagar bengaluru,Bengaluru,560038,C0041,0,8.9,morning,delivered,
ORD00035,2026-03-01 16:35:00,near metro 12th cross bellandur bengaluru,Bengaluru,560103,C0559,0,8.4,afternoon,delivered,
ORD00036,2026-03-13 16:05:00,opp school 10th cross marathahalli bengaluru,Bengaluru,560037,C0172,1,8.7,afternoon,delivered,
ORD00037,2026-03-06 11:35:00,behind mall 7th cross marathahalli bengaluru ???,Bengaluru,560037,C0717,0,9.6,night,delivered,
ORD00038,2026-03-25 20:05:00,near metro 3th cross whitefield bengaluru,Bengaluru,560066,C0953,0,1.6,night,delivered,
ORD00039,2026-03-20 13:15:00,near temple 10th crs jayanagar blru,Bengaluru,560011,C0813,2,3.2,afternoon,delivered,
ORD00040,2026-03-23 09:45:00,near temple 10th cross whitefield bengaluru,Bengaluru,560066,C1037,0,14.2,morning,delivered,
ORD00041,2026-03-27 09:35:00,opp school 7th cross electronic city bengaluru,Bengaluru,560100,C1103,1,7.9,morning,delivered,
ORD00042,2026-03-27 16:35:00,beside park 4th cross jp nagar bengaluru,Bengaluru,,C1013,0,17.2,afternoon,failed,rescheduled
ORD00043,2026-03-12 16:15:00,near temple 9th cross indiranagar bengaluru,Bengaluru,560038,C0493,0,17.7,afternoon,delivered,
ORD00044,2026-03-16 20:55:00,close to lake 10th cross jp nagar bengaluru,Bengaluru,560078,C1128,0,6.6,night,delivered,
ORD00045,2026-03-15 13:55:00,near metro 12th cross electronic city bengaluru,Bengaluru,560100,C1075,0,3.3,afternoon,delivered,
ORD00046,2026-03-27 13:05:00,behind mall 1th cross bellandur bengaluru,Bengaluru,560000,C1006,0,4.4,afternoon,failed,wrong_address
ORD00047,2026-03-16 18:25:00,near temple 2th cross btm layout,Bengaluru,560076,C0306,0,19.3,evening,failed,pincode_mismatch
ORD00048,2026-03-04 09:15:00,beside park 8th cross jayanagar bengaluru,Bengaluru,560011,C1165,0,12.3,morning,delivered,
ORD00049,2026-03-24 09:45:00,near metro 2th crs bellandur blru,Bengaluru,560103,C0067,1,6.0,afternoon,delivered,
ORD00050,2026-03-10 13:55:00,close to lake 10th cross whitefield bengaluru,Bengaluru,560066,C0306,1,14.1,afternoon,delivered,
ORD00051,2026-03-02 11:05:00,near temple 8th cross jayanagar bengaluru,Bengaluru,560011,C1012,0,15.2,morning,delivered,
ORD00052,2026-03-02 09:45:00,close to lake 10th cross jp nagar,Bengaluru,560000,C1181,2,12.5,morning,delivered,
ORD00053,2026-03-17 11:35:00,beside park 2th cross btm layout bengaluru,Bengaluru,560076,C0330,3,4.4,morning,failed,rescheduled
ORD00054,2026-03-10 20:35:00,behind mall 6th crs marathahalli blru,Bengaluru,,C0003,0,15.4,night,delivered,
ORD00055,2026-03-02 16:35:00,opp school 5th cross kengeri bengaluru,Bengaluru,560060,C0249,0,15.4,afternoon,delivered,
ORD00056,2026-03-26 20:45:00,near temple 8th cross btm layout bengaluru,Bengaluru,,C0598,0,11.5,night,delivered,
ORD00057,2026-03-14 20:25:00,near metro 9th cross kengeri bengaluru,Bengaluru,560060,C0850,4,5.6,night,delivered,
ORD00058,2026-03-27 18:25:00,beside park 9th cross electronic city bengaluru,Bengaluru,560100,C0660,2,12.0,evening,delivered,
ORD00059,2026-03-19 20:15:00,beside park 7th cross whitefield bengaluru,Bengaluru,560066,C0076,2,8.8,night,failed,customer_unavailable
ORD00060,2026-03-28 18:25:00,opp school 7th cross kengeri bengaluru,Bengaluru,,C0543,2,2.9,evening,delivered,
ORD00061,2026-03-13 18:55:00,behind mall 11th cross electronic city bengaluru,Bengaluru,560100,C0141,2,17.2,evening,failed,customer_unavailable
ORD00062,2026-03-03 11:55:00,close to lake 5th cross jayanagar,Bengaluru,560011,C0768,0,13.0,morning,delivered,
ORD00063,2026-03-17 11:15:00,beside park 10th cross marathahalli bengaluru,Bengaluru,560037,C0521,2,4.4,morning,delivered,
ORD00064,2026-03-01 13:55:00,behind mall 10th cross jp nagar bengaluru,Bengaluru,,C0619,1,6.5,afternoon,delivered,
ORD00065,2026-03-04 16:35:00,close to lake 7th cross whitefield bengaluru,Bengaluru,560066,C0101,1,11.9,afternoon,delivered,
ORD00066,2026-03-27 20:35:00,close to lake 4th cross bellandur bengaluru,Bengaluru,560103,C0281,0,16.2,night,delivered,
ORD00067,2026-03-02 20:55:00,behind mall 6th cross hsr layout bengaluru,Bengaluru,,C0750,1,12.0,night,delivered,
ORD00068,2026-03-27 18:25:00,behind mall 2th cross kengeri,Bengaluru,560060,C0814,3,18.9,evening,failed,pincode_mismatch
ORD00069,2026-03-01 09:35:00,beside park 11th cross electronic city bengaluru,Bengaluru,560100,C1150,0,8.0,morning,failed,rescheduled
ORD00070,2026-03-03 11:55:00,near temple 1th cross bellandur bengaluru,Bengaluru,560103,C0278,1,14.3,morning,delivered,
ORD00071,2026-03-22 16:25:00,beside park 11th crs marathahalli blru,Bengaluru,560037,C0068,2,11.3,afternoon,delivered,
ORD00072,2026-03-15 11:35:00,close to lake 6th crs electronic city blru,Bengaluru,560100,C0932,2,2.9,morning,delivered,
ORD00073,2026-03-21 20:15:00,near metro 4th crs hsr layout blru,Bengaluru,560102,C0478,4,2.0,night,failed,rescheduled
ORD00074,2026-03-09 18:05:00,close to lake 1th crs indiranagar blru,Bengaluru,560038,C0033,0,3.5,evening,delivered,
ORD00075,2026-03-05 13:05:00,near metro 10th crs indiranagar blru,Bengaluru,560038,C1068,1,15.2,afternoon,failed,rescheduled
ORD00076,2026-03-02 20:05:00,beside park 2th cross jp nagar bengaluru,Bengaluru,560078,C1199,2,9.1,night,failed,pincode_mismatch
ORD00077,2026-03-17 16:45:00,close to lake 11th cross electronic city bengaluru,Bengaluru,560100,C0468,1,9.2,afternoon,delivered,
ORD00078,2026-03-13 13:35:00,opp school 11th cross marathahalli,Bengaluru,560037,C0198,0,9.1,afternoon,failed,rescheduled
ORD00079,2026-03-19 18:05:00,beside park 12th crs indiranagar blru,Bengaluru,560038,C1040,1,13.7,evening,failed,customer_unavailable
ORD00080,2026-03-08 20:35:00,opp school 7th cross indiranagar bengaluru,Bengaluru,560038,C1141,0,11.6,night,delivered,
ORD00081,2026-03-27 18:55:00,behind mall 1th cross btm layout bengaluru,Bengaluru,560076,C0063,0,6.2,evening,failed,wrong_address
ORD00082,2026-03-14 11:35:00,near metro 2th cross kengeri bengaluru,Bengaluru,560060,C0168,0,6.9,morning,failed,rescheduled
ORD00083,2026-03-16 20:35:00,near temple 5th cross jp nagar bengaluru,Bengaluru,560078,C0452,0,5.1,night,delivered,
ORD00084,2026-03-01 18:05:00,near temple 1th cross marathahalli bengaluru,Bengaluru,560037,C0472,3,15.6,evening,delivered,
ORD00085,2026-03-26 18:55:00,near temple 6th cross kengeri bengaluru,Bengaluru,560060,C0236,0,15.1,evening,delivered,
ORD00086,2026-03-06 09:25:00,near temple 4th cross marathahalli bengaluru,Bengaluru,,C0696,1,16.8,morning,delivered,
ORD00087,2026-03-03 13:15:00,close to lake 11th cross whitefield bengaluru,Bengaluru,560066,C0314,0,10.7,afternoon,delivered,
ORD00088,2026-03-16 11:55:00,close to lake 11th cross hsr layout bengaluru,Bengaluru,560102,C0901,1,12.0,morning,delivered,
ORD00089,2026-03-21 16:35:00,beside park 1th crs hsr layout blru,Bengaluru,560102,C0185,0,2.1,afternoon,delivered,
ORD00090,2026-03-13 18:45:00,near metro 11th cross bellandur bengaluru,Bengaluru,560103,C0923,1,16.0,evening,delivered,
ORD00091,2026-03-03 13:55:00,near metro 10th crs hsr layout blru,Bengaluru,560102,C0693,0,5.7,afternoon,delivered,
ORD00092,2026-03-21 09:55:00,close to lake 10th cross bellandur bengaluru,Bengaluru,560103,C0717,0,11.6,morning,failed,rescheduled
ORD00093,2026-03-23 11:45:00,close to lake 12th cross marathahalli bengaluru,Bengaluru,560037,C0868,0,8.2,morning,delivered,
ORD00094,2026-03-12 13:05:00,opp school 3th crs kengeri blru,Bengaluru,560060,C1079,4,7.5,afternoon,delivered,
ORD00095,2026-03-25 20:25:00,near metro 3th cross btm layout,Bengaluru,560076,C0910,1,3.9,night,delivered,
ORD00096,2026-03-26 13:55:00,opp school 6th cross bellandur bengaluru,Bengaluru,560103,C0783,1,6.9,afternoon,delivered,
ORD00097,2026-03-06 18:35:00,behind mall 9th cross kengeri bengaluru,Bengaluru,560060,C0172,2,3.6,evening,failed,customer_unavailable
ORD00098,2026-03-05 16:45:00,near temple 7th crs jayanagar blru,Bengaluru,560011,C0768,0,18.3,afternoon,delivered,
ORD00099,2026-03-04 09:25:00,beside park 12th cross whitefield bengaluru,Bengaluru,560066,C0163,1,16.0,morning,delivered,
ORD00100,2026-03-27 13:15:00,opp school 5th crs btm layout blru,Bengaluru,560076,C0129,3,12.6,afternoon,delivered,
ORD00101,2026-03-18 16:45:00,near metro 7th cross hsr layout bengaluru,Bengaluru,560000,C1078,2,6.5,afternoon,delivered,
ORD00102,2026-03-18 18:45:00,behind mall 2th cross kengeri bengaluru,Bengaluru,560060,C0681,0,8.4,night,delivered,
ORD00103,2026-03-18 09:25:00,beside park 11th cross indiranagar bengaluru,Bengaluru,560038,C0076,1,16.8,morning,delivered,
ORD00104,2026-03-26 11:05:00,near metro 8th cross jayanagar bengaluru,Bengaluru,560011,C0098,0,18.7,morning,delivered,
ORD00105,2026-03-26 13:05:00,opp school 8th cross electronic city bengaluru,Bengaluru,560100,C0170,3,15.1,afternoon,failed,out_of_zone
ORD00106,2026-03-27 16:45:00,beside park 10th cross hsr layout bengaluru,Bengaluru,560102,C0723,0,2.9,afternoon,delivered,
ORD00107,2026-03-21 16:25:00,close to lake 11th crs bellandur,Bengaluru,560103,C0898,3,2.4,afternoon,delivered,
ORD00108,2026-03-08 11:05:00,close to lake 8th cross btm layout bengaluru,Bengaluru,560076,C1085,0,8.3,morning,delivered,
ORD00109,2026-03-21 16:25:00,near metro 2th cross electronic city bengaluru,Bengaluru,560100,C0585,4,1.5,afternoon,delivered,
ORD00110,2026-03-05 11:05:00,close to lake 6th cross jp nagar bengaluru,Bengaluru,,C0615,1,18.1,morning,failed,customer_unavailable
ORD00111,2026-03-08 13:45:00,near metro 10th cross indiranagar bengaluru,Bengaluru,,C0177,0,3.6,afternoon,delivered,
ORD00112,2026-03-23 13:35:00,behind mall 11th crs hsr layout blru,Bengaluru,,C1130,1,15.6,afternoon,failed,pincode_mismatch
ORD00113,2026-03-17 11:35:00,behind mall 12th cross indiranagar bengaluru,Bengaluru,560038,C0162,0,3.4,morning,delivered,
ORD00114,2026-03-18 11:55:00,near metro 10th crs jayanagar blru,Bengaluru,560011,C1155,1,12.7,morning,delivered,
ORD00115,2026-03-02 09:05:00,near metro 11th crs btm layout blru,Bengaluru,560076,C0619,2,6.0,morning,delivered,
ORD00116,2026-03-13 11:55:00,opp school 6th cross jp nagar bengaluru,Bengaluru,560078,C0708,0,2.1,morning,delivered,
ORD00117,2026-03-17 11:25:00,near temple 1th cross marathahalli bengaluru,Bengaluru,560037,C0328,0,9.9,morning,delivered,
ORD00118,2026-03-11 18:55:00,beside park 1th crs electronic city blru,Bengaluru,560100,C1195,0,19.9,evening,failed,rescheduled
ORD00119,2026-03-16 09:25:00,near temple 7th crs btm layout blru,Bengaluru,,C0093,2,13.8,morning,delivered,
ORD00120,2026-03-18 09:45:00,behind mall 10th cross marathahalli bengaluru,Bengaluru,560037,C0695,1,2.4,morning,delivered,
ORD00121,2026-03-07 13:15:00,beside park 9th cross kengeri bengaluru,Bengaluru,560000,C0653,0,1.8,afternoon,delivered,
ORD00122,2026-03-24 16:45:00,near metro 5th cross indiranagar,Bengaluru,560038,C0854,1,10.6,afternoon,failed,pincode_mismatch
ORD00123,2026-03-21 20:55:00,opp school 12th crs jayanagar blru,Bengaluru,560011,C0779,0,13.5,night,delivered,
ORD00124,2026-03-02 20:15:00,beside park 12th cross indiranagar bengaluru,Bengaluru,560038,C0128,2,4.6,night,delivered,
ORD00125,2026-03-18 18:15:00,near metro 6th cross indiranagar bengaluru,Bengaluru,560038,C0542,1,11.0,evening,delivered,
ORD00126,2026-03-08 16:15:00,close to lake 4th cross bellandur bengaluru,Bengaluru,560103,C0561,0,18.9,afternoon,delivered,
ORD00127,2026-03-22 09:45:00,opp school 5th crs jayanagar blru,Bengaluru,560011,C0526,3,8.5,morning,delivered,
ORD00128,2026-03-27 11:15:00,near metro 4th cross jp nagar bengaluru,Bengaluru,560078,C0108,3,14.2,morning,delivered,
ORD00129,2026-03-23 16:25:00,opp school 7th cross hsr layout bengaluru,Bengaluru,560102,C0589,2,3.6,afternoon,delivered,
ORD00130,2026-03-02 13:55:00,near temple 3th cross electronic city bengaluru,Bengaluru,560100,C0814,0,11.9,afternoon,failed,out_of_zone
ORD00131,2026-03-02 20:25:00,near metro 8th cross indiranagar bengaluru,Bengaluru,560038,C0231,3,7.4,morning,delivered,
ORD00132,2026-03-15 11:55:00,close to lake 4th cross electronic city bengaluru,Bengaluru,560100,C1056,2,1.3,morning,delivered,
ORD00133,2026-03-22 09:35:00,beside park 5th cross electronic city bengaluru,Bengaluru,560000,C0737,1,18.8,afternoon,failed,customer_unavailable
ORD00134,2026-03-15 20:05:00,behind mall 12th crs btm layout blru,Bengaluru,560076,C0449,0,10.5,night,delivered,
ORD00135,2026-03-15 16:15:00,near metro 11th cross indiranagar bengaluru,Bengaluru,560038,C0168,1,8.9,afternoon,delivered,
ORD00136,2026-03-23 16:45:00,opp school 10th cross kengeri bengaluru,Bengaluru,560060,C0421,3,3.1,afternoon,delivered,
ORD00137,2026-03-17 16:05:00,near metro 8th cross bellandur bengaluru ???,Bengaluru,560103,C0007,0,3.5,afternoon,delivered,
ORD00138,2026-03-02 18:05:00,beside park 1th cross whitefield bengaluru,Bengaluru,560000,C0861,2,11.3,evening,delivered,
ORD00139,2026-03-28 16:35:00,opp school 11th cross electronic city bengaluru,Bengaluru,560100,C0261,0,2.5,afternoon,delivered,
ORD00140,2026-03-10 09:05:00,beside park 6th crs whitefield blru,Bengaluru,560066,C0066,2,9.1,morning,delivered,
ORD00141,2026-03-08 18:05:00,near temple 4th cross marathahalli bengaluru,Bengaluru,560037,C0116,0,1.6,evening,delivered,
ORD00142,2026-03-08 18:25:00,behind mall 4th cross indiranagar bengaluru,Bengaluru,560038,C0616,2,7.1,evening,failed,rescheduled
ORD00143,2026-03-24 18:45:00,close to lake 11th cross btm layout bengaluru,Bengaluru,560076,C0615,1,9.1,evening,delivered,
ORD00144,2026-03-16 11:45:00,near temple 9th cross marathahalli bengaluru,Bengaluru,560037,C0523,0,17.3,morning,delivered,
ORD00145,2026-03-03 13:55:00,behind mall 7th cross whitefield bengaluru,Bengaluru,560066,C1145,2,2.8,afternoon,delivered,
ORD00146,2026-03-28 16:15:00,close to lake 2th cross whitefield bengaluru,Bengaluru,560066,C0419,0,18.3,afternoon,delivered,
ORD00147,2026-03-11 11:45:00,near metro 8th cross marathahalli bengaluru,Bengaluru,560037,C0656,0,11.1,morning,delivered,
ORD00148,2026-03-14 13:25:00,close to lake 7th cross whitefield bengaluru,Bengaluru,560066,C0504,2,1.3,afternoon,delivered,
ORD00149,2026-03-22 18:55:00,beside park 3th cross jp nagar bengaluru,Bengaluru,560078,C0377,2,10.3,evening,delivered,
ORD00150,2026-03-17 20:05:00,close to lake 4th crs kengeri blru,Bengaluru,560060,C0124,3,13.7,morning,delivered,
ORD00151,2026-03-20 20:55:00,near temple 9th cross bellandur bengaluru,Bengaluru,560103,C0882,1,1.3,night,delivered,
ORD00152,2026-03-17 09:05:00,beside park 2th cross indiranagar bengaluru,Bengaluru,560038,C0463,0,11.0,morning,delivered,
ORD00153,2026-03-21 20:05:00,beside park 1th cross jayanagar bengaluru,Bengaluru,560011,C0679,1,1.6,night,delivered,
ORD00154,2026-03-02 09:45:00,near temple 11th cross bellandur bengaluru,Bengaluru,560103,C0645,3,14.2,morning,failed,wrong_address
ORD00155,2026-03-25 18:15:00,near metro 7th cross whitefield bengaluru,Bengaluru,560066,C0161,2,18.6,evening,delivered,
ORD00156,2026-03-02 20:25:00,beside park 6th crs kengeri blru,Bengaluru,560060,C0729,2,7.5,afternoon,delivered,
ORD00157,2026-03-06 16:35:00,close to lake 2th crs kengeri blru,Bengaluru,560060,C0798,1,2.6,afternoon,delivered,
ORD00158,2026-03-03 13:05:00,beside park 8th cross electronic city bengaluru,Bengaluru,,C1136,1,15.5,evening,failed,wrong_address
ORD00159,2026-03-28 18:25:00,opp school 10th cross bellandur bengaluru,Bengaluru,560103,C0550,0,8.4,evening,delivered,
ORD00160,2026-03-06 11:05:00,opp school 12th cross jp nagar bengaluru,Bengaluru,560000,C0624,1,10.2,morning,failed,wrong_address
ORD00161,2026-03-13 13:45:00,near metro 3th cross marathahalli bengaluru,Bengaluru,560037,C0364,0,7.4,afternoon,delivered,
ORD00162,2026-03-24 13:25:00,beside park 6th crs marathahalli blru,Bengaluru,560037,C1127,1,11.9,afternoon,delivered,
ORD00163,2026-03-23 20:35:00,beside park 11th cross btm layout bengaluru,Bengaluru,560000,C0867,2,16.8,night,delivered,
ORD00164,2026-03-20 09:35:00,near metro 1th cross marathahalli bengaluru,Bengaluru,560037,C0175,0,10.6,morning,delivered,
ORD00165,2026-03-22 11:55:00,beside park 6th cross hsr layout bengaluru ???,Bengaluru,560102,C1046,1,1.8,morning,delivered,
ORD00166,2026-03-23 18:45:00,near metro 3th cross kengeri,Bengaluru,560060,C0176,1,8.4,evening,delivered,
ORD00167,2026-03-12 20:15:00,beside park 12th cross hsr layout bengaluru,Bengaluru,560102,C0236,1,4.9,night,delivered,
ORD00168,2026-03-04 13:55:00,opp school 6th cross btm layout bengaluru,Bengaluru,560076,C0378,0,19.7,afternoon,delivered,
ORD00169,2026-03-14 20:55:00,near temple 12th cross indiranagar bengaluru,Bengaluru,560038,C1183,2,17.8,night,delivered,
ORD00170,2026-03-12 18:15:00,close to lake 6th cross hsr layout bengaluru,Bengaluru,560102,C0938,1,6.0,evening,delivered,
ORD00171,2026-03-23 11:55:00,opp school 5th crs bellandur blru,Bengaluru,560103,C0283,3,12.2,morning,delivered,
ORD00172,2026-03-06 16:35:00,opp school 8th cross bellandur bengaluru,Bengaluru,560103,C0736,1,18.5,afternoon,delivered,
ORD00173,2026-03-07 16:15:00,beside park 12th cross btm layout bengaluru,Bengaluru,560076,C0452,4,10.6,afternoon,failed,rescheduled
ORD00174,2026-03-18 13:15:00,near metro 2th cross btm layout bengaluru,Bengaluru,560076,C1111,2,11.7,afternoon,delivered,
ORD00175,2026-03-18 20:35:00,near temple 8th cross btm layout bengaluru,Bengaluru,560076,C0241,1,15.0,night,delivered,
ORD00176,2026-03-19 11:55:00,opp school 4th cross whitefield bengaluru,Bengaluru,560066,C0345,3,12.6,morning,delivered,
ORD00177,2026-03-10 20:25:00,opp school 7th cross electronic city bengaluru,Bengaluru,560100,C0272,4,10.8,night,failed,customer_unavailable
ORD00178,2026-03-27 20:25:00,close to lake 7th cross indiranagar,Bengaluru,560038,C0826,2,8.5,night,delivered,
ORD00179,2026-03-23 20:25:00,close to lake 2th cross kengeri bengaluru,Bengaluru,,C0130,0,19.1,night,failed,pincode_mismatch
ORD00180,2026-03-27 11:35:00,near metro 8th cross marathahalli bengaluru,Bengaluru,560037,C0942,0,16.7,morning,failed,wrong_address
ORD00181,2026-03-15 11:35:00,opp school 5th crs hsr layout blru,Bengaluru,560102,C0339,0,14.1,night,delivered,
ORD00182,2026-03-10 16:55:00,opp school 8th crs btm layout blru,Bengaluru,,C0017,2,9.2,afternoon,delivered,
ORD00183,2026-03-23 09:35:00,behind mall 6th cross electronic city bengaluru,Bengaluru,560100,C0273,0,8.3,morning,delivered,
ORD00184,2026-03-19 09:45:00,beside park 10th cross indiranagar bengaluru,Bengaluru,560038,C0253,1,14.7,afternoon,failed,pincode_mismatch
ORD00185,2026-03-11 13:35:00,close to lake 10th cross marathahalli bengaluru ???,Bengaluru,560037,C0618,0,13.2,afternoon,delivered,
ORD00186,2026-03-17 18:45:00,opp school 8th cross whitefield bengaluru,Bengaluru,560066,C0025,0,13.3,evening,failed,rescheduled
ORD00187,2026-03-28 11:35:00,near temple 1th cross electronic city,Bengaluru,560100,C0816,1,11.4,morning,delivered,
ORD00188,2026-03-23 13:55:00,near metro 3th cross kengeri bengaluru,Bengaluru,560060,C0319,0,14.3,afternoon,delivered,
ORD00189,2026-03-19 13:35:00,close to lake 4th crs kengeri blru,Bengaluru,560000,C0113,2,13.9,afternoon,delivered,
ORD00190,2026-03-22 20:55:00,behind mall 9th cross jayanagar bengaluru,Bengaluru,560011,C0551,0,14.5,night,delivered,
ORD00191,2026-03-26 09:25:00,beside park 8th cross hsr layout,Bengaluru,560102,C0323,1,6.0,morning,delivered,
ORD00192,2026-03-22 09:45:00,opp school 1th cross jayanagar bengaluru,Bengaluru,560000,C0073,0,10.7,morning,delivered,
ORD00193,2026-03-21 20:55:00,near temple 10th cross kengeri bengaluru,Bengaluru,560060,C1057,0,8.9,night,failed,wrong_address
ORD00194,2026-03-28 09:35:00,opp school 5th cross marathahalli bengaluru,Bengaluru,,C1011,2,7.2,morning,delivered,
ORD00195,2026-03-25 20:45:00,close to lake 12th cross whitefield bengaluru ???,Bengaluru,560000,C0630,0,18.7,night,delivered,
ORD00196,2026-03-08 11:45:00,near temple 4th cross hsr layout bengaluru,Bengaluru,560102,C0174,4,19.5,morning,failed,pincode_mismatch
ORD00197,2026-03-21 18:15:00,opp school 5th cross hsr layout bengaluru,Bengaluru,560102,C0669,0,11.8,evening,delivered,
ORD00198,2026-03-08 16:25:00,beside park 8th cross electronic city bengaluru,Bengaluru,560100,C0926,0,15.6,afternoon,delivered,
ORD00199,2026-03-28 16:25:00,near temple 4th cross jayanagar bengaluru,Bengaluru,560011,C0729,0,14.0,afternoon,delivered,
ORD00200,2026-03-22 18:05:00,near metro 12th cross marathahalli bengaluru,Bengaluru,560037,C0249,2,4.3,evening,delivered,
ORD00201,2026-03-05 09:15:00,near metro 5th cross btm layout,Bengaluru,,C0909,0,14.0,morning,failed,customer_unavailable
ORD00202,2026-03-02 13:05:00,beside park 1th cross hsr layout bengaluru,Bengaluru,560102,C0564,0,18.6,afternoon,delivered,
ORD00203,2026-03-02 16:15:00,beside park 1th crs jayanagar blru,Bengaluru,560011,C1077,1,13.3,afternoon,delivered,
ORD00204,2026-03-26 20:45:00,near metro 9th cross whitefield bengaluru ???,Bengaluru,560066,C0061,2,7.8,night,delivered,
ORD00205,2026-03-17 09:35:00,opp school 5th cross jayanagar bengaluru,Bengaluru,560011,C0450,1,5.4,morning,delivered,
ORD00206,2026-03-27 16:25:00,behind mall 10th crs bellandur blru,Bengaluru,560103,C1154,0,5.5,afternoon,delivered,
ORD00207,2026-03-10 16:45:00,beside park 1th cross whitefield bengaluru,Bengaluru,,C0364,0,2.1,afternoon,delivered,
ORD00208,2026-03-05 09:05:00,near temple 6th cross electronic city bengaluru,Bengaluru,560100,C0661,3,15.7,morning,delivered,
